,ObservationDate,country,Confirmed,Deaths,Recovered,Code,latitude,longitude,New Confirmed,New Recovered,New Death
1063,02/28/2020, azerbaijan,1,0,0,,,,0,0,0
2055,03/10/2020,"('st. martin',)",2,0,0,,,,2,0,0
869,02/24/2020,afghanistan,1,0,0,AF,33.93911,67.709953,1,0,0
909,02/25/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
955,02/26/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1006,02/27/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1064,02/28/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1125,02/29/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1201,03/01/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1275,03/02/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1354,03/03/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1461,03/04/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1527,03/05/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1650,03/06/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1723,03/07/2020,afghanistan,1,0,0,AF,33.93911,67.709953,0,0,0
1831,03/08/2020,afghanistan,4,0,0,AF,33.93911,67.709953,3,0,0
1942,03/09/2020,afghanistan,4,0,0,AF,33.93911,67.709953,0,0,0
2054,03/10/2020,afghanistan,5,0,0,AF,33.93911,67.709953,1,0,0
2171,03/11/2020,afghanistan,7,0,0,AF,33.93911,67.709953,2,0,0
2289,03/12/2020,afghanistan,7,0,0,AF,33.93911,67.709953,0,0,0
2415,03/13/2020,afghanistan,7,0,0,AF,33.93911,67.709953,0,0,0
2542,03/14/2020,afghanistan,11,0,0,AF,33.93911,67.709953,4,0,0
2691,03/15/2020,afghanistan,16,0,0,AF,33.93911,67.709953,5,0,0
2845,03/16/2020,afghanistan,21,0,1,AF,33.93911,67.709953,5,1,0
3005,03/17/2020,afghanistan,22,0,1,AF,33.93911,67.709953,1,0,0
3168,03/18/2020,afghanistan,22,0,1,AF,33.93911,67.709953,0,0,0
3337,03/19/2020,afghanistan,22,0,1,AF,33.93911,67.709953,0,0,0
3511,03/20/2020,afghanistan,24,0,1,AF,33.93911,67.709953,2,0,0
3689,03/21/2020,afghanistan,24,0,1,AF,33.93911,67.709953,0,0,0
3862,03/22/2020,afghanistan,40,1,1,AF,33.93911,67.709953,16,0,1
4031,03/23/2020,afghanistan,40,1,1,AF,33.93911,67.709953,0,0,0
4202,03/24/2020,afghanistan,74,1,1,AF,33.93911,67.709953,34,0,0
4376,03/25/2020,afghanistan,84,2,2,AF,33.93911,67.709953,10,1,1
4552,03/26/2020,afghanistan,94,4,2,AF,33.93911,67.709953,10,0,2
4730,03/27/2020,afghanistan,110,4,2,AF,33.93911,67.709953,16,0,0
